Vivado Simulator 2016.4
Time resolution is 1 ps
                   0 Sel=000 ,A= 0 ,B= 0 ,Out= 0
                  10 Sel=001 ,A= 3 ,B= 1 ,Out= 4
                  20 Sel=010 ,A= 3 ,B= 1 ,Out= 2
                  30 Sel=011 ,A= 3 ,B= 1 ,Out= 3
                  40 Sel=100 ,A= 3 ,B= 1 ,Out= 0
                  50 Sel=101 ,A= 3 ,B= 1 ,Out= 6
                  60 Sel=110 ,A= 3 ,B= 1 ,Out= 1
                  70 Sel=111 ,A= 3 ,B= 1 ,Out= 1
                  80 Sel=000 ,A= 2 ,B= 2 ,Out= 2
                  90 Sel=001 ,A= 2 ,B= 2 ,Out= 4
                 100 Sel=010 ,A= 2 ,B= 2 ,Out= 0
                 110 Sel=011 ,A= 2 ,B= 2 ,Out= 1
                 120 Sel=100 ,A= 2 ,B= 2 ,Out= 0
                 130 Sel=101 ,A= 2 ,B= 2 ,Out= 4
                 140 Sel=110 ,A= 2 ,B= 2 ,Out= 1
                 150 Sel=111 ,A= 2 ,B= 2 ,Out= 0
                 160 Sel=000 ,A= 1 ,B= 3 ,Out= 1
                 170 Sel=001 ,A= 1 ,B= 3 ,Out= 4
                 180 Sel=010 ,A= 1 ,B= 3 ,Out=30
                 190 Sel=011 ,A= 1 ,B= 3 ,Out= 0
                 200 Sel=100 ,A= 1 ,B= 3 ,Out= 1
                 210 Sel=101 ,A= 1 ,B= 3 ,Out= 2
                 220 Sel=110 ,A= 1 ,B= 3 ,Out= 0
                 230 Sel=111 ,A= 1 ,B= 3 ,Out= 0
$finish called at time : 530 ns : File "C:/School/Spring 2018/ECEN 449/HW1/Q3/hw1_q3_tb.v" Line 39
